Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount
12-10-2021 20.55,CUB - online payment,Food,,Momos,195,Expense,,195
12-09-2021 20.03,CUB - online payment,Food,,Snack with bharath,40,Expense,,40
12-09-2021 14.01,CUB - online payment,Food,,Lunch with company,280,Expense,,280
12-09-2021 9.56,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-09-2021 8.47,CUB - online payment,Food,,Breakfast with stu,110,Expense,,110
12-08-2021 14.15,CUB - online payment,Food,,Lunch with stu,100,Expense,,100
12-08-2021 14.15,Cash,Food,,5 star,1120.72,Expense,,15
12-08-2021 7.17,CUB - online payment,Food,,Milk,10,Expense,,10
12-07-2021 9.54,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-07-2021 7.59,CUB - online payment,Food,,Horlicks,15,Expense,,15
12-06-2021 21.59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-06-2021 20.07,CUB - online payment,Apparel,,Shoe,500,Expense,,500
12-06-2021 19.57,CUB - online payment,Apparel,,Cap,140,Expense,,140
12-06-2021 14.08,CUB - online payment,Food,,Lunch with stu,150,Expense,,150
12-05-2021 19.45,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-05-2021 18.41,CUB - online payment,Apparel,,Full hand and a hoodie,1800,Expense,,1800
12-05-2021 12.23,CUB - online payment,Household,,Rent,4800,Expense,,4800
12-05-2021 12.23,CUB - online payment,Allowance,,From dad,8000,Income,,8000
12-04-2021 21.05,CUB - online payment,Food,,Dinner,324,Expense,,324
12-04-2021 20.20,CUB - online payment,Food,,Snack,65,Expense,,65
12-04-2021 13.54,CUB - online payment,Other,,For company,30,Expense,,30
12-04-2021 10.13,CUB - online payment,Food,,Breakfast,200,Expense,,200
12-03-2021 21.59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-03-2021 21.59,CUB - online payment,Apparel,,Belt,130,Expense,,130
12-03-2021 21.28,CUB - online payment,Apparel,,Mask,20,Expense,,20
12-03-2021 21.28,CUB - online payment,Food,,Snack,40,Expense,,40
12-03-2021 21.28,CUB - online payment,Allowance,,From dad,1000,Income,,1000
12-02-2021 20.07,CUB - online payment,Food,,Ice cream,504,Expense,,504
12-02-2021 19.48,CUB - online payment,Food,,Vadapaav,75,Expense,,75
12-01-2021 19.57,CUB - online payment,Beauty,,Showergel,196,Expense,,196
12-01-2021 14.00,CUB - online payment,Food,,Lunch with company,160,Expense,,160
11/30/2021 14:24,CUB - online payment,Gift,,Bharath birthday,115,Expense,,115
11/30/2021 14:17,CUB - online payment,Food,,Lunch with company,128,Expense,,128
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70,Expense,,70
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40,Expense,,40
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50,Expense,,50
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40,Expense,,40
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40,Expense,,40
11/28/2021 19:59,CUB - online payment,Food,,Snack,94,Expense,,94
